,상호명,상권업종중분류명,표준산업분류명,도로명주소,시군구명,경도,위도,Dbscan_50m,Dbscan_100m
33213,엉클밥스,커피점/카페,비알콜 음료점업,부산광역시 사하구 낙동대로549번길 56,사하구,128.960726888125,35.112716650787,11,-1
33236,커피에세이,커피점/카페,비알콜 음료점업,부산광역시 동래구 명안로85번길 5,동래구,129.104162384744,35.2040765511717,-1,-1
33275,CafeSoul,커피점/카페,비알콜 음료점업,부산광역시 기장군 기장읍 차성로418번길 63,기장군,129.215981235293,35.2512553319893,-1,-1
33295,일로공작,커피점/카페,비알콜 음료점업,부산광역시 동구 수정중로 22-1,동구,129.044477134407,35.1304125148118,1,-1
33307,낙원다방,커피점/카페,비알콜 음료점업,부산광역시 수영구 망미번영로55번길 40,수영구,129.108959093697,35.1739986430734,0,-1
33356,오렌지,커피점/카페,비알콜 음료점업,부산광역시 금정구 수림로72번길 80,금정구,129.085851089358,35.2433350002394,2,-1
33367,이디야커피,커피점/카페,비알콜 음료점업,부산광역시 수영구 연수로 335-1,수영구,129.107329137937,35.1719944520332,-1,-1
33393,용왕당굿당,커피점/카페,비알콜 음료점업,부산광역시 기장군 기장읍 기장해안로 767,기장군,129.237246036081,35.225387027849,-1,-1
33410,카페,커피점/카페,비알콜 음료점업,부산광역시 금정구 오시게로42번길 3,금정구,129.087675765069,35.2211717425264,2,-1
33448,카페,커피점/카페,비알콜 음료점업,부산광역시 기장군 일광면 문오성길 330,기장군,129.260229160403,35.29160691751,-1,-1
33516,솜이솜이,커피점/카페,비알콜 음료점업,부산광역시 해운대구 우동1로20번길 37,해운대구,129.158391489175,35.1646303488178,12,5
33542,카노,커피점/카페,비알콜 음료점업,부산광역시 남구 천제등로 33,남구,129.089003070575,35.1329591438148,0,-1
33566,아띠,커피점/카페,비알콜 음료점업,부산광역시 서구 충무대로267번길 4,서구,129.023861463192,35.0945413550333,1,1
33577,석다원,커피점/카페,비알콜 음료점업,부산광역시 동구 중앙대로371번길 24-1,동구,129.047459393352,35.1293862253368,1,-1
33580,컴포즈커피,커피점/카페,비알콜 음료점업,부산광역시 강서구 명지국제8로 251,강서구,128.920503276444,35.0983537609466,13,-1
33585,그린커피,커피점/카페,비알콜 음료점업,부산광역시 금정구 금정로 114,금정구,129.087625642498,35.2347018953914,2,2
33607,시애틀의잠못이루는밤,커피점/카페,비알콜 음료점업,부산광역시 해운대구 센텀중앙로 48,해운대구,129.129880730793,35.1730391168348,5,4
33653,To.JENNYcafe,커피점/카페,비알콜 음료점업,부산광역시 연제구 중앙천로 38,연제구,129.082854699505,35.1782279686698,8,-1
33702,아모제푸드카페아모제,커피점/카페,비알콜 음료점업,부산광역시 부산진구 가야대로 772,부산진구,129.056437700996,35.1568098468641,10,3
33760,엘오르,커피점/카페,비알콜 음료점업,부산광역시 해운대구 송정구덕포길 144,해운대구,129.197021261485,35.1693385584413,-1,-1
33792,리움,커피점/카페,비알콜 음료점업,부산광역시 강서구 명지국제6로 240,강서구,128.923175069063,35.0969903409273,13,-1
33840,항그커피,커피점/카페,비알콜 음료점업,부산광역시 수영구 남천서로 20,수영구,129.107076750091,35.1436481253511,0,0
33896,커피어때,커피점/카페,비알콜 음료점업,부산광역시 영도구 상리로 1,영도구,129.070839093612,35.0856533794659,-1,-1
33950,파스퇴르밀크바,커피점/카페,비알콜 음료점업,부산광역시 부산진구 가야대로 772,부산진구,129.056437700996,35.1568098468641,10,3
33952,오륙도꽃담,커피점/카페,비알콜 음료점업,부산광역시 남구 용호로232번길 21,남구,129.109699804206,35.1113182603148,-1,-1
33953,원두가땡긴다,커피점/카페,비알콜 음료점업,부산광역시 기장군 일광면 일광로 463,기장군,129.256397921008,35.2841385116185,-1,-1
33955,JJ318,커피점/카페,비알콜 음료점업,부산광역시 중구 광복중앙로 14-13,중구,129.031341287503,35.1006435639852,1,1
33981,엔제리너스주례점,커피점/카페,비알콜 음료점업,부산광역시 사상구 주례로10번길 106,사상구,129.005558299094,35.1500045911601,-1,-1
34033,이디야커피,커피점/카페,비알콜 음료점업,부산광역시 사상구 낙동대로 733,사상구,128.968384587437,35.1276100505179,-1,-1
34041,메가커피해운대NC점,커피점/카페,비알콜 음료점업,부산광역시 해운대구 해운대로 813,해운대구,129.177093805183,35.1705974675265,4,-1
34064,원카페,커피점/카페,비알콜 음료점업,부산광역시 북구 금곡대로 268,북구,129.015152914764,35.2314284255489,17,-1
34065,스타벅스,커피점/카페,비알콜 음료점업,부산광역시 동래구 충렬대로 101,동래구,129.072069873707,35.207186283523,-1,-1
34073,어벤더치센텀점,커피점/카페,비알콜 음료점업,부산광역시 해운대구 센텀2로 33,해운대구,129.133455152409,35.1663985851797,5,4
34149,컴포즈커피재송점,커피점/카페,비알콜 음료점업,부산광역시 해운대구 재반로 85,해운대구,129.125365439043,35.1863314714597,-1,-1
34154,더리터,커피점/카페,비알콜 음료점업,부산광역시 부산진구 대학로 16,부산진구,129.036821902326,35.154040756412,-1,-1
34175,바램,커피점/카페,비알콜 음료점업,부산광역시 북구 만덕대로78번길 22,북구,129.013451699424,35.2112335748216,3,-1
